invite,invited,invited,เชิญชวน
is,was,been,เป็น; อยู่; คือ
join,joined,joined,เข้าร่วม
jump,jumped,jumped,กระโดด
justify,justified,justified,ให้เหตุผล; อธิบาย
keep,kept,kept,เก็บรักษา
kick,kicked,kicked,เตะ; ต่อต้าน
kid,kidded,kidded,หยอกล้อ
kill,killed,killed,ฆ่า
kiss,kissed,kissed,จูบ
kneel,knelt,knelt,คุกเข่า
knit,knit,knit,ถัก
knock,knocked,knocked,เคาะ; ตี; ทุบ
know,knew,known,รู้จัก
lade,laded,laden,บรรทุก; แบก
land,landed,landed,นำลงจอด; ขึ้นบก
last,lasted,lasted,คงอยู่
latch,latched,latched,ใส่กลอน (ประตู)
laugh,laughed,laughed,หัวเราะ
lay,laid,laid,วางไข่
lead,led,led,นำ
leak,leaked,leaked,รั่วไหล
lean,leant/ leaned,leant/ leaned,ยัน
leap,leapt,leapt,กระโดด
learn,learnt,learnt,เรียน
leave,left,left,ออกจาก
leer,leered,leered,เหลือบมอง; มองค้อน
lend,lent,lent,ให้ยืม
let,let,let,อนุญาต
lick,licked,licked,เลีย; ชนะ
lie,lay,lain,นอนลง
lift,lifted,lifted,ยก
light,lit,lit,จุดไฟ
like,liked,liked,ชอบ
limp,limped,limped,เดินกะเผลก
listen,listened,listened,ฟัง
live,lived,lived,อาศัยอยู่
look,looked,looked,มองดู
lose,lost,lost,ทำหาย
love,loved,loved,รัก
magnify,magnified,magnified,ขยาย
maintain,maintained,maintained,เก็บ บำรุงรักษา
make,made,made,ทำ
manage,managed,managed,จัดการ
manipulate,manipulated,manipulated,จัดการ
manufacture,manufactured,manufactured,ผลิต
march,marched,marched,เดินขบวน
mark,marked,marked,ทำเครื่องหมาย
marry,married,married,แต่งงาน
mash,mashed,mashed,บด; ผสมกัน
match,matched,matched,จับคู่
matter,mattered,mattered,สำคัญ
mean,meant,meant,หมายถึง
measure,measured,measured,วัด (ขนาด ปริมาณ)
meet,met,met,พบ
melt,melted,melted,ละลาย
memorise (UK),memorized,memorized,จดจำ
memorize (US),memorized,memorized,จดจำ
